"","key","fscorea","fscoreb","fscorea_fscoreb","fscoreb_fscorea","away_win","home_win","teamaspread","overunder","teambspread","teama_vegas_fscore","teamb_vegas_fscore","scorea","scoreb","timeleft","teama","teamb","scorea_scoreb","date","scoreb_scorea","pct_complete","pct_left","cf1","cf2","teama_adj_fscore","teamb_adj_fscore","pfscoreb_pfscorea"
"21","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,6,4,46.5,"cha","tor",2,2016-04-05,-2,3.125,96.875,-1.01469257886368,-0.0128877532619069,101.1796875,103.0546875,1.875
"22","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,15,18,39.15,"cha","tor",-3,2016-04-05,3,18.4375,81.5625,1.65836997846835,0.0241759827191542,95.13515625,101.39765625,6.2625
"23","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,61,75,11.4333333333,"cha","tor",-14,2016-04-05,14,76.180555555625,23.819444444375,14.2680626253055,0.558447126444434,84.4026041665984,99.3553819443734,14.952777777775
"24","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,15,20,37.9166666667,"cha","tor",-5,2016-04-05,5,21.006944444375,78.993055555625,2.80840283024366,0.0420049512159782,92.6106770834016,100.770399305627,8.159722222225
"25","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,15,18,38.2166666667,"cha","tor",-3,2016-04-05,3,20.381944444375,79.618055555625,1.6784356809538,0.0249461429698938,93.2247395834016,99.4094618056266,6.18472222222501
"26","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,2,4,47.1833333333,"cha","tor",-2,2016-04-05,2,1.70138888895834,98.2986111110417,1.0073369070387,0.0126456901009347,98.5783854165984,104.51032986104,5.93194444444167
"27","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,70,81,5.68333333333,"cha","tor",-11,2016-04-05,11,88.1597222222292,11.8402777777708,15.817744273085,1.08744765384417,81.6330729166598,93.1066840277707,11.4736111111108
"28","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,32,37,29.9666666667,"cha","tor",-5,2016-04-05,5,37.569444444375,62.430555555625,3.15771979876101,0.057031106887491,93.3380208334016,100.835243055627,7.49722222222499
"29","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,19,26,35.6166666667,"cha","tor",-7,2016-04-05,7,25.7986111110417,74.2013888889583,4.05631470937983,0.0637895053321608,91.9028645834016,101.87092013896,9.96805555555832
"30","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,16,24,36.6666666667,"cha","tor",-8,2016-04-05,8,23.6111111110417,76.3888888889583,4.56914974526873,0.0702007790420589,91.0520833334016,102.10763888896,11.0555555555583
